S. No.,tweet,class
1,Hindus Beaten by Pakistani Police for Hoisting Saffron Flag in Their Own Home. Video Published to Cower Other Hindus into Submission!,0
2,chetanbhagat Just unable to understand as Y leftists  lutyens r forcibly clubbing CAA NPR  NRC Fact remains that nationwide NRC is not in picture as of now no draft is ready no official meeting took place Infact NRC if comes will not effect Indian Citizens at least httpstwittercomchetanbhagatstatus,2
3,There is a lots of issue in this country like CAA  NRC NPA sab sawaloo kaaek hee  jawab Pak plz who feel little awkward   not safe go to PAK enjoy therewith FreedomOfSpeech,2
4,Deepika ke chakkar me CAA mat bhuliye IndiaDoesNotSupportCAA hashtag bhi trend me hi rahna chahiye ISupportDeepikaPadukone IndiaDoesNotSupportCAA,2
5,Amazing history I always wondered how far the hypocrisy will take people in their life Worth the read if you live in US and are for CAA,2
6,Religion based citizenship Against the law “They religious minorities facing persecution in Pakistan Bangladesh Afghanistan are being discriminated as they are not given right to worship” Rakesh Sinha Rajya Sabha MP BJP on rationale behind CAA OnRealityCheck,0
7,Congress calls opposition meet on Jan  on CAA INCIndia,2
8,By Lending support to the nation wide protest against NRC and CAA nearly 4000 people took to the roads udaipur Rajasthan india Protests,2
9,"Unko sab pata hota hai, Syria me kya ho raha hai ye maalum hai, Palestine me kya ho raha hai ye bhi pata hai lekin #CAA kya hai ye nahin maalum.'",2
10,"""Same reason as to why Chidambaram's bail plea had higher priority than A370 and CAA.""",2
11,The protests have become a confluence several grievances and outcries: CAA NRC NPR StateBrutality MobsterViolence CivilRights Kashmir Unemplyment Is economic distress far behind?',2
12,"Religion based citizenship: Against the law?\n\n“They (religious minorities facing persecution in Pakistan, Bangladesh, Afghanistan) are being discriminated as they are not given right to worship,” Rakesh Sinha, Rajya Sabha MP, BJP on rationale behind CAA",2
13,"This video is from JYOTI NIVAS COLLEGE, BANGALORE.\n\nBJP members came into college and threatened girl students to sign a  document which supports #CAA and put up a banner in college which states India supports CAA. \n\nRt @Shehla_Rashid @naukarshah @kavita_krishnan @vakeel_saheba",2
14,"At least now I can say, that bringing in #CAA and #NRC has opened up our eyes and now it has paved the way for implementing #UCC, Jo log yeh secularism ki baat kar rahe hai tab asli secularism sabka nikal kar Bahar aayega. Yeh 70 saal purani deemak hai itni asaani se nahi jayegi.'",2
15,But budde chuitiye this seems to be a lady Aab kya pata usne ye bewakoofi kyu kia par tu toh samajdar hai iss placard ka matlab ye nhi k sab jhooot or modi ka #caa #nrc such sala chutiya hai tu',2
16,"""The BJP government is behaving like hooligans for peaceful protests against #CAA & #NRC. Imagine what's going to happen to people who are put in detention camps - that could very well be any one of us.\nJago #India Jago!\n#CAAProtests #CAA_NRC_Protest\n#IndiaAgainstCAA_NRC""",0
17,Did you tell the same When people were saying #CAA is anti Indian Muslims anti constitutional etc?',1
18,"Is JNU the right platform for #ChhapaakPromotions now? With the same courage, why dont you share your take on #CAA? Hope you are not amongst those #BollywoodCelebs who deny to have enough knowledge on #CAA to comment.'",2
19,Not Hindus. Not Muslims. Not Jains. Not Sikhs. Not Christians. Not Parsees. Not Buddhists.\n\nonLY INDIANS.\n\nIndians united against hate.\nIndians united against #CAA,2
20,"Do you think the Supreme Court might choose to look into the act more closely, after listening to all the pleas on Jan 22d? #CAA'",2
21,"BJP WILL HAVE TO PAY HEAVY PRICE FOR STUBBORNNESS ON #CAA, CAPT AMARINDER WARNS SHIVRAJ CHAUHAN #CaptAmarinder #WARNSSHIVRAJCHAUHAN #BreakingNews #Politics #Punjab #Slider #TodayNews #TopNews",2
22,I Support #CAA. Miss call on 8866288662. I support you @narendramodi ji and @amitshah ji\n \n#IndiaSupportsCAA pic.twitter.com/U1gMfaw3Uv',2
23,#JNU VOILENCE \n#CAA PROTEST\n#WAR IRN vs US pic.twitter.com/Rd7qgpvsP6',0
24,IndiaRejectsCAA_NPR_NRC\nResidents of Chalavadikeri blocked BJP leaders frm entering their locality 2 create awareness about #CAA on Mon.\nThey formed a human chain when d leaders & party wrkrs reached 2 distribute pamphlets. They askd leaders to go back.,2
25,#CAA not for Indian Muslims',2
26,You Are Watching Telangana Today News \n\n#CHALO_EIDGAH_MEERALAM \n\nPeer_O_Murshid Janab Syed Atan Shahab Mahdavi Appeal Public To Join Protests Against #CAA #NRC At Meeralam Eid Gaha After Namaaz E Jumma On 10th January 2020,2
27,"Le khud sun beta #CAA #NRC #NPR  ka virodh q kr rhi hai publicapni amma ki zubani,🤣🤣 or haan ab bolega musalmano k sth hindu or dusre dharm k log q protest kr rhe ? To wo isliye kr rhe qki wo schhe hindustani hain tre trh cnfuzed nhi 🤣 jinhe sanvidhan se pyr h wo against hain",2
28,"Thank God, Anjana finally understood #CAA #NRC O.K.",2
29,Because #CAA or #Shantiniketan or #Vishwabharati are not trending at all ?,2
30,3/3 Koramangala unit of BJP was also said to have forced students to sign petitions supporting #CAA  pic.twitter.com/7VgrePMHDE',2
31,"The Hindu nationalist government of  Narendra Modi has pursued a more strident and divisive series of policy measures.....\nThe first time since India's Constitution was adopted in1949, Parliament has explicitly linked religious identity to citizenship thru #CAA\n#NotMyPM",2
32,The simplest & most apt analogy to the #CAA yet.  https://twitter.com/WoCharLog/status/1214953252904529922\xa0…',2
33,Cinema of Controversy by Cinema for Cinema. \n#Chappak #DeepikaAtJNU #AnuragKashyap #CAAProtest #CAA',2
34,Salute to the fighting spirit of young Indian,2
35,LIVE | Leaders of various opposition parties are expected to participate in former BJP leader Yashwant Sinhas yatra to protest against #CAA-#NRC in its Gujarat leg.\n\nFollow for updates: https://www.thequint.com/news/india/caa-nrc-citizenship-amendment-act-protests-live-news-updates\xa0…',2
36,"@NDTV_24X7 @ndtv @ArvindKejriwal Needs to understand that Indian citizens do not have to prove their citizenship under #CAA .Mr Pandey, a HINDU must be having some document which proves he was in India before 2014.Please do not mislead the Indian citizens by your false narrative'",2
37,"Would u also please connect recent #NankanaSahibAttacked with #CAA please may be you will not for sure as u have to impress your team of #TukdeTukdeGang \nBut u r just trying to murge CAA and nrc #shameonbollywood @VishalDadlani',",2
38,I SUPPORT CITIZENSHIP AMENDMENT ACT #CAA #IndiaSupportsCAA\n\nvia MyNt pic.twitter.com/CH7m28zsXF',2
39,@imMAK02 Girls in Bangalore ask a pro CAA poster to be removed from their college wall.. Hence are told you are Not #Indian #CAA #Bangalore #Jyotinivas college https://twitter.com/mhindustanim/status/1214950303679709185?s=19\xa0…',2
40,"Day 27, Peaceful Protest At Jamia Gate No. 7 , Along With Entire Family, For A United & Secular India. \nWe Stand With JMI & Entire Nation ..  \n#United_Against_Hatred\n#We_Stand_With_Jamia \nReject #CAA ,#NRC & #NPR pic.twitter.com/nwHYIpSJUO",2
41,"Certain sections of media is really biased including print media. They hardly give space to any pro-CAA rally or March. Same media everyday published photos of #TukdeTukdeGang protesters and try to paint like whole India is against #CAA, shameful.  https://twitter.com/iGyanendraGiri/status/1214945637403201536\xa0…'",2
42,#CAA #JNU Protests are scripted and planned. #FirstDay #FirstShow #Flop',2
43,"Thousands of women\'s gathered at @basavakalyan protest against \n#CAA #NRC #NPR \n""Dada lade the goron se hum ladenge choron se""\n#IndiaAgainstCAA_NRC pic.twitter.com/cjhrUKPwPk'",2
44,"It is a shame that India so called ""Educated"" politicians like @SitaramYechury , @ArvindKejriwal @RahulGandhi & @priyankagandhi think the #CAA is a bill that would take the citizenship of Indian people.\nTheir Common sense is below the ground. \nIt grants citizenship, \nyou fools.'",1
45,What we do not need in this decade is governments ignoring the environmental crisis to fight wars and discriminate. \n\n#AustralianBushfiresDisaster #AustraliaisBurning #CAA #USAWars',0
46,#CAA  https://twitter.com/PandaJay/status/1214746589169737729\xa0…',2
47,@JNUSUofficial @UmarKhalidJNU This happened in Bengaluru. Students of Jyothi Nivas college in Koramangala trying to stop BJP workers from putting up banner supporting #CAA. 1/3  pic.twitter.com/tc8RPD6CzT',2
48,Guess every #economist #actor #politician and #media #anchors and #journalists know more about the #Constitution than even the best #lawyers (who differ on #CAA . being constitutional or otherwise.) Last word #SupremeCourt seized of the matter. Why jump the gun ?',2
49,"We can already see the herds on street opposing #CAA, and idiots all over the country standing up for union clashes in JNU - for hostel fee hike from almost NIL to minuscule & student mobs not ready to abide hostel rules!!'",2
50,Its a #shame Indian violence #seekers & West never raised Hindu & Christian #persecution as minority in #Bangladesh & Pakistan. It would have made a difference. Now they #miss Muslims in #CAA  http://womenspowerbook.org\xa0 #sponsored  http://bit.ly/2EUFKLg\xa0 says pic.twitter.com/1Ro4KH4BbN',0
51,"SFI protests against BJP's #SwapanDasgupta at #VisvaBharati, stalls lecture on #CAA  https://www.tribuneindia.com/news/sfi-protests-against-bjps-swapan-dasgupta-at-visva-bharati-stalls-lecture-on-caa-23383#.XhYOB_ykaV8.twitter\xa0�",2
52,"Could you be clear please, either u don't want #CAA or you want modifications in it .  https://twitter.com/anuragkashyap72/status/1214600373299757057\xa0�",2
